Edition,Footnote,Type,Designation,,,,,,,A ,d,tw,tw/2,bf,tf,T,k,k1,W,bf/2tf,h/tw,Fy''',X1,X2x106,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(?),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Sw1,Sw2,Sw3,Qf,Qw,B,b,Ht / t,h/tdes,b/tdes,D/t,Ht,h,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,twdet/2,tfdet,kdes,kdet,B/t,Sz,Qs,Iz,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
14th,–,W,W44X335,–,–,–,–,–,–,98.5,44,1.03,–,15.9,1.77,–,–,1  5/16,335,4.5,38,–,–,–,31100,1620,1410,17.8,–,–,1200,236,150,3.49,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,74.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,535000,–,–,–,–,168,–,1180,–,–,278,805,–,–,–,–,–,–,–,–,–,–,–,–,–,–,44,16,1,  1/2 ,1  3/4 ,2.56,2  5/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.24,42.2,132,148
14th,–,W,W44X290,–,–,–,–,–,–,85.4,43.6,0.865,–,15.8,1.58,–,–,1  1/4 ,290,5.02,45,–,–,–,27000,1410,1240,17.8,–,–,1040,205,132,3.49,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,50.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,461000,–,–,–,–,166,–,1040,–,–,248,701,–,–,–,–,–,–,–,–,–,–,–,–,–,–,43  5/8 ,15  7/8 ,  7/8 ,  7/16,1  9/16,2.36,2  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.2,42,131,147
14th,–,W,W44X262,–,–,–,–,–,–,77.2,43.3,0.785,–,15.8,1.42,–,–,1  3/16,262,5.57,49.6,–,–,–,24100,1270,1110,17.7,–,–,923,182,117,3.47,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,37.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,405000,–,–,–,–,165,–,928,–,–,223,630,–,–,–,–,–,–,–,–,–,–,–,–,–,–,43  1/4 ,15  3/4 , 13/16,  7/16,1  7/16,2.2,2  1/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.17,41.9,131,147
14th,–,W,W44X230,–,–,–,–,–,–,67.8,42.9,0.71,–,15.8,1.22,–,–,1  3/16,230,6.45,54.8,–,–,–,20800,1100,971,17.5,–,–,796,157,101,3.43,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,24.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,346000,–,–,–,–,165,–,793,–,–,192,547,–,–,–,–,–,–,–,–,–,–,–,–,–,–,42  7/8 ,15  3/4 , 11/16,  3/8 ,1  1/4 ,2.01,2  1/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.13,41.7,130,146
14th,–,W,W40X593,–,–,–,–,–,–,174,43,1.79,–,16.7,3.23,–,–,2  1/8 ,593,2.58,19.1,–,–,–,50400,2760,2340,17,–,–,2520,481,302,3.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,445,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,997000,–,–,–,–,166,–,2240,–,–,479,1370,–,–,–,–,–,–,–,–,–,–,–,–,–,–,43,16  3/4 ,1 13/16, 15/16,3  1/4 ,4.41,4  1/2 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.63,39.8,130,147
14th,–,W,W40X503,–,–,–,–,–,–,148,42.1,1.54,–,16.4,2.76,–,–,2,503,2.98,22.3,–,–,–,41600,2320,1980,16.8,–,–,2040,394,249,3.72,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,277,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,789000,–,–,–,–,161,–,1830,–,–,403,1150,–,–,–,–,–,–,–,–,–,–,–,–,–,–,42,16  3/8 ,1  9/16, 13/16,2  3/4 ,3.94,4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.5,39.3,129,145
14th,–,W,W40X431,–,–,–,–,–,–,127,41.3,1.34,–,16.2,2.36,–,–,1  7/8 ,431,3.44,25.5,–,–,–,34800,1960,1690,16.6,–,–,1690,328,208,3.65,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,177,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,638000,–,–,–,–,158,–,1510,–,–,341,969,–,–,–,–,–,–,–,–,–,–,–,–,–,–,41  1/4 ,16  1/4 ,1  5/16, 11/16,2  3/8 ,3.54,3  5/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.41,38.9,127,143
14th,–,W,W40X397,–,–,–,–,–,–,117,41,1.22,–,16.1,2.2,–,–,1 13/16,397,3.66,28,–,–,–,32000,1800,1560,16.6,–,–,1540,300,191,3.64,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,142,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,579000,–,–,–,–,156,–,1380,–,–,318,891,–,–,–,–,–,–,–,–,–,–,–,–,–,–,41,16  1/8 ,1  1/4 ,  5/8 ,2  3/16,3.38,3  1/2 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.38,38.8,126,142
14th,–,W,W40X372,–,–,–,–,–,–,110,40.6,1.16,–,16.1,2.05,–,–,1 13/16,372,3.93,29.5,–,–,–,29600,1680,1460,16.5,–,–,1420,277,177,3.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,116,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,528000,–,–,–,–,155,–,1280,–,–,295,829,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40  5/8 ,16  1/8 ,1  3/16,  5/8 ,2  1/16,3.23,3  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.33,38.6,125,141
14th,–,W,W40X362,–,–,–,–,–,–,106,40.6,1.12,–,16,2.01,–,–,1  3/4 ,362,3.99,30.5,–,–,–,28900,1640,1420,16.5,–,–,1380,270,173,3.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,109,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,513000,–,–,–,–,154,–,1240,–,–,289,808,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40  1/2 ,16,1  1/8 ,  9/16,2,3.19,3  1/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.33,38.6,125,141
